in s,C1 in V
-5.9846860E-01,2.1629333E-03
-5.9845944E-01,2.1705627E-03
-5.9845028E-01,2.1705627E-03
-5.9844112E-01,2.1781921E-03
-5.9843196E-01,2.2315979E-03
-5.9842280E-01,2.2010803E-03
-5.9841364E-01,2.1934509E-03
-5.9840448E-01,2.2087097E-03
-5.9839532E-01,2.2087097E-03
-5.9838616E-01,2.1705627E-03
-5.9837700E-01,2.1324158E-03
-5.9836784E-01,2.0713806E-03
-5.9835868E-01,2.1705627E-03
-5.9834952E-01,2.1476746E-03
-5.9834036E-01,2.1781921E-03
-5.9833120E-01,2.1858215E-03
-5.9832204E-01,2.1705627E-03
-5.9831288E-01,2.2697449E-03
-5.9830372E-01,2.2468567E-03
-5.9829456E-01,2.2468567E-03
-5.9828540E-01,2.2392273E-03
-5.9827624E-01,2.2468567E-03
-5.9826708E-01,2.2544861E-03
-5.9825792E-01,2.3002625E-03
-5.9824876E-01,2.2392273E-03
-5.9823960E-01,2.2315979E-03
-5.9823044E-01,2.2544861E-03
-5.9822128E-01,2.2315979E-03
-5.9821212E-01,2.2239685E-03
-5.9820296E-01,2.2468567E-03
-5.9819380E-01,2.2392273E-03
-5.9818464E-01,2.2697449E-03
-5.9817548E-01,2.2315979E-03
-5.9816632E-01,2.2010803E-03
-5.9815716E-01,2.1934509E-03
-5.9814800E-01,2.1934509E-03
-5.9813884E-01,2.1858215E-03
-5.9812968E-01,2.2010803E-03
-5.9812052E-01,2.2697449E-03
-5.9811136E-01,2.2468567E-03
-5.9810220E-01,2.1476746E-03
-5.9809304E-01,2.1934509E-03
-5.9808388E-01,2.2468567E-03
-5.9807472E-01,2.2544861E-03
-5.9806556E-01,2.2239685E-03
-5.9805640E-01,2.2315979E-03
-5.9804724E-01,2.2163391E-03
-5.9803808E-01,2.1781921E-03
-5.9802892E-01,2.2315979E-03
-5.9801976E-01,2.2315979E-03
-5.9801060E-01,2.2087097E-03
-5.9800144E-01,2.1858215E-03
-5.9799228E-01,2.1858215E-03
-5.9798312E-01,2.2010803E-03
-5.9797396E-01,2.2239685E-03
-5.9796480E-01,2.2697449E-03
-5.9795564E-01,2.2773743E-03
-5.9794648E-01,2.2773743E-03
-5.9793732E-01,2.3078918E-03
-5.9792816E-01,2.3078918E-03
-5.9791900E-01,2.2697449E-03
-5.9790984E-01,2.2850037E-03
-5.9790068E-01,2.2544861E-03
-5.9789152E-01,2.2850037E-03
-5.9788236E-01,2.2621155E-03
-5.9787320E-01,2.2926331E-03
-5.9786404E-01,2.3002625E-03
-5.9785488E-01,2.2926331E-03
-5.9784572E-01,2.2315979E-03
-5.9783656E-01,2.2621155E-03
-5.9782740E-01,2.2773743E-03
-5.9781824E-01,2.3002625E-03
-5.9780908E-01,2.3231506E-03
-5.9779992E-01,2.3078918E-03
-5.9779076E-01,2.3384094E-03
-5.9778160E-01,2.3384094E-03
-5.9777244E-01,2.3307800E-03
-5.9776328E-01,2.3384094E-03
-5.9775412E-01,2.2926331E-03
-5.9774496E-01,2.3307800E-03
-5.9773580E-01,2.3231506E-03
-5.9772664E-01,2.3002625E-03
-5.9771748E-01,2.3155212E-03
-5.9770832E-01,2.3307800E-03
-5.9769916E-01,2.3307800E-03
-5.9769000E-01,2.2544861E-03
-5.9768084E-01,2.2697449E-03
-5.9767168E-01,2.2468567E-03
-5.9766252E-01,2.2544861E-03
-5.9765336E-01,2.2392273E-03
-5.9764420E-01,2.2850037E-03
-5.9763504E-01,2.3231506E-03
-5.9762588E-01,2.2850037E-03
-5.9761672E-01,2.2850037E-03
-5.9760756E-01,2.3002625E-03
-5.9759840E-01,2.3536682E-03
-5.9758924E-01,2.3689270E-03
-5.9758008E-01,2.3307800E-03
-5.9757092E-01,2.3689270E-03
-5.9756176E-01,2.3384094E-03
-5.9755260E-01,2.3307800E-03
-5.9754344E-01,2.3307800E-03
-5.9753428E-01,2.3841858E-03
-5.9752512E-01,2.3918152E-03
-5.9751596E-01,2.3536682E-03
-5.9750680E-01,2.3765564E-03
-5.9749764E-01,2.3841858E-03
-5.9748848E-01,2.3841858E-03
-5.9747932E-01,2.3689270E-03
-5.9747016E-01,2.3612976E-03
-5.9746100E-01,2.3384094E-03
-5.9745184E-01,2.3536682E-03
-5.9744268E-01,2.3384094E-03
-5.9743352E-01,2.3536682E-03
-5.9742436E-01,2.3612976E-03
-5.9741520E-01,2.3078918E-03
-5.9740604E-01,2.3231506E-03
-5.9739688E-01,2.3155212E-03
-5.9738772E-01,2.2926331E-03
-5.9737856E-01,2.2315979E-03
-5.9736940E-01,2.2621155E-03
-5.9736024E-01,2.3155212E-03
-5.9735108E-01,2.3231506E-03
-5.9734192E-01,2.3231506E-03
-5.9733276E-01,2.2544861E-03
-5.9732360E-01,2.2926331E-03
-5.9731444E-01,2.3460388E-03
-5.9730528E-01,2.2773743E-03
-5.9729612E-01,2.2697449E-03
-5.9728696E-01,2.2544861E-03
-5.9727780E-01,2.2773743E-03
-5.9726864E-01,2.2926331E-03
-5.9725948E-01,2.2773743E-03
-5.9725032E-01,2.2850037E-03
-5.9724116E-01,2.2621155E-03
-5.9723200E-01,2.2926331E-03
-5.9722284E-01,2.3155212E-03
-5.9721368E-01,2.3307800E-03
-5.9720452E-01,2.2773743E-03
-5.9719536E-01,2.2926331E-03
-5.9718620E-01,2.2697449E-03
-5.9717704E-01,2.3002625E-03
-5.9716788E-01,2.2926331E-03
-5.9715872E-01,2.2621155E-03
-5.9714956E-01,2.3155212E-03
-5.9714040E-01,2.2926331E-03
-5.9713124E-01,2.2926331E-03
-5.9712208E-01,2.3612976E-03
-5.9711292E-01,2.3536682E-03
-5.9710376E-01,2.3460388E-03
-5.9709460E-01,2.3536682E-03
-5.9708544E-01,2.3689270E-03
-5.9707628E-01,2.3231506E-03
-5.9706712E-01,2.2850037E-03
-5.9705796E-01,2.2926331E-03
-5.9704880E-01,2.3155212E-03
-5.9703964E-01,2.3231506E-03
-5.9703048E-01,2.3689270E-03
-5.9702132E-01,2.3536682E-03
-5.9701216E-01,2.3384094E-03
-5.9700300E-01,2.3307800E-03
-5.9699384E-01,2.2621155E-03
