Freq,V(filterout)_mag_dB,V(filterout)_phase_deg,V(vin)_mag_dB,V(vin)_phase_deg
2.54912125463853e+01,1.04232805149322e+00,1.23379015386039e+01,-1.24064609033632e+01,1.24330666939117e+01
2.63901582154579e+01,1.05610560579987e+00,1.19239491324549e+01,-1.23926833299424e+01,1.20224702818538e+01
2.73208051350880e+01,1.06900005971080e+00,1.15226321110367e+01,-1.23797888555789e+01,1.16246275997538e+01
2.82842712474620e+01,1.08106563803078e+00,1.11336269596943e+01,-1.23677232553513e+01,1.12392193108042e+01
2.92817139189126e+01,1.09235353320574e+00,1.07566105368235e+01,-1.23564353366644e+01,1.08659265955287e+01
3.03143313302080e+01,1.10291203756007e+00,1.03912609262473e+01,-1.23458768070890e+01,1.05044320072072e+01
3.13833639158701e+01,1.11278667457825e+00,1.00372581823559e+01,-1.23360021430403e+01,1.01544202337806e+01
3.24900958542495e+01,1.12202032864997e+00,9.69428501266309e+00,-1.23267684600734e+01,9.81557877271433e+00
3.36358566101487e+01,1.13065337228698e+00,9.36202734848032e+00,-1.23181353854501e+01,9.48759852516454e+00
3.48220225318451e+01,1.13872379094405e+00,9.04017488019967e+00,-1.23100649335167e+01,9.17017431559413e+00
3.60500185044333e+01,1.14626730451264e+00,8.72842148749499e+00,-1.23025213843290e+01,8.86300534275461e+00
3.73213196614724e+01,1.15331748479211e+00,8.42646562194889e+00,-1.22954711658721e+01,8.56579556768910e+00
3.86374531569939e+01,1.15990586956789e+00,8.13401063904859e+00,-1.22888827401411e+01,8.27825404412912e+00
4.00000000000001e+01,1.16606207259241e+00,7.85076505950080e+00,-1.22827264932817e+01,8.00009519636356e+00
4.14105969536552e+01,1.17181388894061e+00,7.57644279418809e+00,-1.22769746299246e+01,7.73103904935746e+00
4.28709385014519e+01,1.17718739668887e+00,7.31076333491043e+00,-1.22716010717990e+01,7.47081141559559e+00
4.43827788827139e+01,1.18220705380989e+00,7.05345187848215e+00,-1.22665813606643e+01,7.21914404282665e+00
4.59479341998816e+01,1.18689579104431e+00,6.80423944049278e+00,-1.22618925655596e+01,6.97577472659077e+00
4.75682846001090e+01,1.19127510023721e+00,6.56286292546680e+00,-1.22575131943402e+01,6.74044739112805e+00
4.92457765337968e+01,1.19536511864234e+00,6.32906517308734e+00,-1.22534231094418e+01,6.51291214199254e+00
5.09824250927707e+01,1.19918470905564e+00,6.10259497522433e+00,-1.22496034477942e+01,6.29292529343413e+00
5.27803164309160e+01,1.20275153568147e+00,5.88320707021269e+00,-1.22460365447828e+01,6.08024937336203e+00
5.46416102701760e+01,1.20608213648676e+00,5.67066212190775e+00,-1.22427058621489e+01,5.87465310846881e+00
5.65685424949240e+01,1.20919199119513e+00,5.46472667890349e+00,-1.22395959197029e+01,5.67591139187255e+00
5.85634278378252e+01,1.21209558616260e+00,5.26517310823720e+00,-1.22366922307202e+01,5.48380523542762e+00
6.06286626604162e+01,1.21480647524512e+00,5.07177953524735e+00,-1.22339812408816e+01,5.29812170866134e+00
6.27667278317403e+01,1.21733733750116e+00,4.88432975248218e+00,-1.22314502706171e+01,5.11865386611370e+00
6.49801917084991e+01,1.21970003165278e+00,4.70261312718816e+00,-1.22290874607098e+01,4.94520066469079e+00
6.72717132202974e+01,1.22190564729337e+00,4.52642450318925e+00,-1.22268817210167e+01,4.77756687248803e+00
6.96440450636902e+01,1.22396455318461e+00,4.35556408278795e+00,-1.22248226821611e+01,4.61556297039726e+00
7.21000370088667e+01,1.22588644278347e+00,4.18983731727826e+00,-1.22229006500576e+01,4.45900504768070e+00
